0	1	0
150	0.846418406	0.153581594
450	0.589796938	0.410203062
750	0.312969378	0.687030622
1050	0.165850436	0.834149564
1350	0.122032332	0.877967668
1650	0.098291718	0.901708282
1950	0.075982318	0.924017682
2250	0.07000746	0.92999254
2550	0.069343891	0.930656109
2850	0.059648232	0.940351768
3150	0.046730998	0.953269002
3450	0.037397544	0.962602456
3750	0.048391647	0.951608353
4050	0.048391647	0.951608353
4350	0.048391647	0.951608353
4650	0.048391647	0.951608353
4950	0.048391647	0.951608353
5250	0.048391647	0.951608353
