150	0.110132245	0.478335749	0.411532006
450	0.131922611	0.522305637	0.345771752
750	0.163327011	0.566402479	0.27027051
1050	0.187532221	0.594256967	0.218210812
1350	0.205506891	0.607240582	0.187252527
1650	0.229326059	0.602246288	0.168427653
1950	0.256659028	0.592890527	0.150450445
2250	0.275701675	0.595203713	0.129094612
2550	0.29378859	0.596705048	0.109506362
2850	0.328235261	0.575638432	0.096126308
3150	0.366994308	0.542491152	0.09051454
3450	0.390962142	0.52337029	0.085667568
3750	0.407787635	0.515791964	0.076420401
4050	0.428646536	0.499314956	0.072038508
4350	0.452878051	0.472096031	0.075025918
4650	0.466519207	0.457928302	0.075552491
4950	0.458977968	0.468693725	0.072328308
5250	0.445812341	0.483816652	0.070371007
